homelat,homelon,country,homecontinent,n
33.93911,67.709953,Afghanistan,Asia,1
28.033886,1.659626,Algeria,Africa,149
-11.202692,17.873887,Angola,Africa,2
-38.416097,-63.616672,Argentina,South America,59
40.069099,45.038189,Armenia,Asia,1
-25.274398,133.775136,Australia,Oceania,170
47.516231,14.550072,Austria,Europe,9
40.143105,47.576927,Azerbaijan,Asia,2
23.684994,90.356331,Bangladesh,Asia,6
53.709807,27.953389,Belarus,Europe,8
50.503887,4.469936,Belgium,Europe,10
-16.290154,-63.588653,Bolivia,South America,3
43.915886,17.679076,Bosnia and Herzegovina,Europe,1
-14.235004,-51.92528,Brazil,South America,50
42.733883,25.48583,Bulgaria,Europe,10
12.238333,-1.561593,Burkina Faso,Africa,8
12.565679,104.990963,Cambodia,Asia,1
7.369722,12.354722,Cameroon,Africa,3
56.130366,-106.346771,Canada,North America,59
15.454166,18.732207,Chad,Africa,2
-35.675147,-71.542969,Chile,South America,295
35.86166,104.195397,China,Asia,76
4.570868,-74.297333,Colombia,South America,4
9.748917,-83.753428,Costa Rica,North America,1
45.1,15.2,Croatia,Europe,4
21.521757,-77.781167,Cuba,North America,4
49.817492,15.472962,Czechia,Europe,27
-4.038333,21.758664,Democratic Republic of the Congo,Africa,2
56.26392,9.501785,Denmark,Europe,8
-1.831239,-78.183406,Ecuador,South America,1
26.820553,30.802498,Egypt,Africa,204
13.794185,-88.89653,El Salvador,North America,4511
58.595272,25.013607,Estonia,Europe,3
26.5225,31.4659,Eswatini,Africa,1
9.145,40.489673,Ethiopia,Africa,4
61.92411,25.748151,Finland,Europe,129
46.227638,2.213749,France,Europe,91
51.165691,10.451526,Germany,Europe,279
7.946527,-1.023194,Ghana,Africa,1
39.074208,21.824312,Greece,Europe,1
15.783471,-90.230759,Guatemala,North America,2
15.199999,-86.241905,Honduras,North America,2
47.162494,19.503304,Hungary,Europe,11
20.593684,78.96288,India,Asia,155
-0.789275,113.921327,Indonesia,Asia,291
32.427908,53.688046,Iran,Asia,20
33.223191,43.679291,Iraq,Asia,16
53.41291,-8.24389,Ireland,Europe,4
31.046051,34.851612,Israel,Asia,1
41.87194,12.56738,Italy,Europe,49
18.109581,-77.297508,Jamaica,North America,1
36.204824,138.252924,Japan,Asia,63
30.585164,36.238414,Jordan,Asia,1
48.019573,66.923684,Kazakhstan,Asia,8
-0.023559,37.906193,Kenya,Africa,2
19.85627,102.495496,Laos,Asia,1
56.879635,24.603189,Latvia,Europe,1
33.854721,35.862285,Lebanon,Asia,1
-29.609988,28.233608,Lesotho,Africa,2
26.3351,17.228331,Libya,Africa,138
55.169438,23.881275,Lithuania,Europe,1718
-18.766947,46.869107,Madagascar,Africa,1
-13.254308,34.301525,Malawi,Africa,6
4.210484,101.975766,Malaysia,Asia,1
17.570692,-3.996166,Mali,Africa,1
21.00789,-10.940835,Mauritania,Africa,7
23.634501,-102.552784,Mexico,North America,65
47.411631,28.369885,Moldova,Europe,1
46.862496,103.846656,Mongolia,Asia,3
31.791702,-7.09262,Morocco,Africa,62
21.913965,95.956223,Myanmar,Asia,2
-22.95764,18.49041,Namibia,Africa,5
28.394857,84.124008,Nepal,Asia,1
52.132633,5.291266,Netherlands,Europe,6
-40.900557,174.885971,New Zealand,Oceania,7
17.607789,8.081666,Niger,Africa,9
9.081999,8.675277,Nigeria,Africa,16
40.339852,127.510093,North Korea,Asia,1
60.472024,8.468946,Norway,Europe,43
21.512583,55.923255,Oman,Asia,308
30.375321,69.345116,Pakistan,Asia,11
-6.314993,143.95555,Papua New Guinea,Oceania,1
-23.442503,-58.443832,Paraguay,South America,1
-9.189967,-75.015152,Peru,South America,4
12.879721,121.774017,Philippines,Asia,5
51.919438,19.145136,Poland,Europe,20
39.399872,-8.224454,Portugal,Europe,3
25.354826,51.183884,Qatar,Asia,1
45.943161,24.96676,Romania,Europe,11
61.52401,105.318756,Russia,Europe,98
-1.940278,29.873888,Rwanda,Africa,1
24.2155,12.8858,Sahrawi Arab Democratic Republic,Africa,2
23.885942,45.079162,Saudi Arabia,Asia,9
44.016521,21.005859,Serbia,Europe,1511
48.669026,19.699024,Slovakia,Europe,6
46.151241,14.995463,Slovenia,Europe,2
5.152149,46.199616,Somalia,Africa,1
-30.559482,22.937506,South Africa,Africa,24
35.907757,127.766922,South Korea,Asia,3
12.862807,30.217636,South Sudan,Africa,2
40.463667,-3.74922,Spain,Europe,25
7.873054,80.771797,Sri Lanka,Asia,2
12.862807,30.217636,Sudan,Africa,2
60.128161,18.643501,Sweden,Europe,106
46.818188,8.227512,Switzerland,Europe,10
34.802075,38.996815,Syria,Asia,1
38.861034,71.276093,Tajikistan,Asia,1
-6.369028,34.888822,Tanzania,Africa,8
15.870032,100.992541,Thailand,Asia,8
33.886917,9.537499,Tunisia,Africa,19
38.963745,35.243322,Turkey,Asia,14
1.373333,32.290275,Uganda,Africa,6
48.379433,31.16558,Ukraine,Europe,46
23.424076,53.847818,United Arab Emirates,Asia,1
55.378051,-3.435973,United Kingdom,Europe,21
37.09024,-95.712891,United States of America,North America,1490
-32.522779,-55.765835,Uruguay,South America,3
41.377491,64.585262,Uzbekistan,Asia,2
6.42375,-66.58973,Venezuela,South America,3
14.058324,108.277199,Vietnam,Asia,3
15.552727,48.516388,Yemen,Asia,1
-19.015438,29.154857,Zimbabwe,Africa,3