name,id,nametype,recclass,mass (g),fall,year,lat,lng,GeoLocation
Roosevelt County 086,22741,Valid,L6,9,Found,1974,34.28333,-103.28333,"(34.28333, -103.28333)"
Saint Augustine,23080,Valid,"Iron, IID",22000,Found,1974,40.71667,-90.41667,"(40.71667, -90.41667)"
Thackaringa,23907,Valid,H5,438.6,Found,1974,-32.11667,141.08333,"(-32.11667, 141.08333)"
Tokio (a),24016,Valid,H5,6600,Found,1974,33.21667,-102.63167,"(33.21667, -102.63167)"
Tokio (b),24017,Valid,OC,823,Found,1974,33.205,-102.65833,"(33.205, -102.65833)"
Yamato 74001,24379,Valid,H5,246.1,Found,1974,-71.83611,36.27222,"(-71.83611, 36.27222)"
Yamato 74002,24380,Valid,LL4,69.7,Found,1974,-71.82556,36.25556,"(-71.82556, 36.25556)"
Yamato 74003,24381,Valid,L6,15.5,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74004,24382,Valid,H5,8.1,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74005,24383,Valid,Diogenite,3.7,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74006,24384,Valid,H6,35.8,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74007,24385,Valid,L6,162.3,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74008,24386,Valid,H,14.3,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74009,24387,Valid,L5,9,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74010,24388,Valid,Diogenite,298.5,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74011,24389,Valid,Diogenite,206,Found,1974,-71.83278,36.29167,"(-71.83278, 36.29167)"
Yamato 74012,24390,Valid,H5,75.4,Found,1974,-71.83667,36.29861,"(-71.83667, 36.29861)"
Yamato 74013,24391,Valid,Diogenite,2059.5,Found,1974,-71.83667,36.30417,"(-71.83667, 36.30417)"
Yamato 74014,24392,Valid,H6,2367.9,Found,1974,-71.83556,36.30278,"(-71.83556, 36.30278)"
Yamato 74015,24393,Valid,L6,88,Found,1974,-71.80389,36.23472,"(-71.80389, 36.23472)"
Yamato 74016,24394,Valid,H6,11.5,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74017,24395,Valid,H6,3.23,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"